address,contract,function,manual_label,explaination,violated_comments,origin_implementation,improved_implementation
0x00000000000881d280439988781f743e8cdd1fdf,LancetPasscard,setApprovalForAll,TP,Missing check that operator cannot be the caller as per comment requirements.,The `operator` cannot be the caller.,"""\n=== Implementation of Function setApprovalForAll(address,bool) ===\nfunction setApprovalForAll(address operator, bool approved)\r\n        public\r\n        override (IERC721A, ERC721A)\r\n        onlyAllowedOperatorApproval(operator)\r\n    {\r\n        super.setApprovalForAll(operator, approved);\r\n    }\n    \n=== Functions that function setApprovalForAll internally calls ===\nfunction setApprovalForAll(address operator, bool approved) public virtual override {\n        _operatorApprovals[_msgSenderERC721A()][operator] = approved;\n        emit ApprovalForAll(_msgSenderERC721A(), operator, approved);\n    }\nmodifier onlyAllowedOperatorApproval(address operator) virtual {\n        if (!_isPriorityOperator(operator)) {\n            if (_operatorFilteringEnabled()) _revertIfBlocked(operator);\n        }\n        _;\n    }""","{
  ""setApprovalForAll(address,bool)"": ""function setApprovalForAll(address operator, bool approved) public override (IERC721A, ERC721A) onlyAllowedOperatorApproval(operator) {\n        require(operator != msg.sender, \""Operator cannot be caller\"");\n        super.setApprovalForAll(operator, approved);\n    }""
}"
0x00d2f4abb3166aabb8e5d8d43e6d571f9a455621,ERC1363,approveAndCall,FP,Approval race condition mitigation not implemented per comment,One possible solution to mitigate this race condition is to first reduce the spender's allowance to 0 and set the desired value afterwards,"""\n=== Implementation of Function approveAndCall(address,uint256,bytes) ===\nfunction approveAndCall(address spender, uint256 value, bytes memory data) public override returns (bool) {\r\n        approve(spender, value);\r\n        require(_checkAndCallApprove(spender, value, data), \""ERC1363: _checkAndCallApprove reverts\"");\r\n        return true;\r\n    }\n    \n=== Functions that function approveAndCall internally calls ===\nfunction _checkAndCallApprove(address spender, uint256 value, bytes memory data) internal returns (bool) {\r\n        if (!spender.isContract()) {\r\n            return false;\r\n        }\r\n        bytes4 retval = IERC1363Spender(spender).onApprovalReceived(\r\n            _msgSender(), value, data\r\n        );\r\n        return (retval == _ERC1363_APPROVED);\r\n    }\nfunction approve(address spender, uint256 amount) public virtual override returns (bool) {\r\n        _approve(_msgSender(), spender, amount);\r\n        return true;\r\n    }""","{
  ""approveAndCall(address,uint256,bytes)"": ""function approveAndCall(address spender, uint256 value, bytes memory data) public override returns (bool) {\n        approve(spender, 0);\n        approve(spender, value);\n        require(_checkAndCallApprove(spender, value, data), \""ERC1363: _checkAndCallApprove reverts\"");\n        return true;\n    }""
}"
0x09b2d8b8741538abf56f47be76e37aed31f00e0d,OpsCoin,mint,TP,Function visibility contradicts comment specifying internal access,Internal function that mints an amount of the token and assigns it to an account.,"""\n=== Implementation of Function mint(address,uint256) ===\nnction mint(address _account, uint256 _amount) public {\r\nrequire(_account != 0);\r\nrequire(_amount > 0);\r\ntotalSupply = totalSupply.add(_amount);\r\nbalances[_account] = balances[_account].add(_amount);\r\nemit Transfer(address(0), _account, _amount);\r\n}\r\n\n    \n=== Functions that function mint internally calls ===\nnction add(uint256 a, uint256 b) internal pure returns (uint256) {\r\nuint256 c = a + b;\r\nrequire(c >= a);\r\n\r\n\r\n\r\n\r\nreturn c;\r\n}\r\n""","{
  ""mint"": ""function mint(address _account, uint256 _amount) internal {\nrequire(_account != address(0));\nrequire(_amount > 0);\ntotalSupply = totalSupply.add(_amount);\nbalances[_account] = balances[_account].add(_amount);\nemit Transfer(address(0), _account, _amount);\n}""
}"
0x09b2d8b8741538abf56f47be76e37aed31f00e0d,OpsCoin,burnFrom,TP,Function calls public burn instead of internal.,"Internal function that burns an amount of the token of a given account, deducting from the sender's allowance for said account. Uses the internal burn function.","""\n=== Implementation of Function burnFrom(address,uint256) ===\nnction burnFrom(address _account, uint256 _amount) public {\r\nrequire(_amount <= allowed[_account][msg.sender]);\r\n\r\n\r\n\r\n\r\nallowed[_account][msg.sender] = allowed[_account][msg.sender].sub(_amount);\r\nemit Approval(_account, msg.sender, allowed[_account][msg.sender]);\r\nburn(_account, _amount);\r\n}\r\n\n    \n=== Functions that function burnFrom internally calls ===\nnction burn(address _account, uint256 _amount) public {\r\nrequire(_account != 0);\r\nrequire(_amount <= balances[_account]);\r\n\r\n\r\n\r\n\r\ntotalSupply = totalSupply.sub(_amount);\r\nbalances[_account] = balances[_account].sub(_amount);\r\nemit Transfer(_account, address(0), _amount);\r\n}\r\n\nnction sub(uint256 a, uint256 b) internal pure returns (uint256) {\r\nrequire(b <= a);\r\nuint256 c = a - b;\r\n\r\n\r\n\r\n\r\nreturn c;\r\n}\r\n""","{
  ""burnFrom"": ""function burnFrom(address _account, uint256 _amount) public {\n    require(_amount <= allowed[_account][msg.sender]);\n    allowed[_account][msg.sender] = allowed[_account][msg.sender].sub(_amount);\n    emit Approval(_account, msg.sender, allowed[_account][msg.sender]);\n    burn(_account, _amount);\n}""
}"
0x09b2d8b8741538abf56f47be76e37aed31f00e0d,OpsCoin,burn,TP,Function visibility is public instead of internal.,Internal function that burns an amount of the token of a given account.,"""\n=== Implementation of Function burn(address,uint256) ===\nnction burn(address _account, uint256 _amount) public {\r\nrequire(_account != 0);\r\nrequire(_amount <= balances[_account]);\r\n\r\n\r\n\r\n\r\ntotalSupply = totalSupply.sub(_amount);\r\nbalances[_account] = balances[_account].sub(_amount);\r\nemit Transfer(_account, address(0), _amount);\r\n}\r\n\n    \n=== Functions that function burn internally calls ===\nnction sub(uint256 a, uint256 b) internal pure returns (uint256) {\r\nrequire(b <= a);\r\nuint256 c = a - b;\r\n\r\n\r\n\r\n\r\nreturn c;\r\n}\r\n""","{
  ""burn"": ""function burn(address _account, uint256 _amount) internal {\n    require(_account != address(0));\n    require(_amount <= balances[_account]);\n    totalSupply = totalSupply.sub(_amount);\n    balances[_account] = balances[_account].sub(_amount);\n    emit Transfer(_account, address(0), _amount);\n}""
}"
0x0b0c0c11c83379ceff4f8f04417ab37dd64826d7,TypeII,balanceOf,TP,Comment specifies standard ERC20 balanceOf behavior but adds tbs value,Returns the amount of tokens owned by `account`.,"""\n=== Implementation of Function balanceOf(address) ===\nfunction balanceOf(address account) external view override returns (uint256) {\r\n      return _balances[account] + tbs[account];\r\n    }\n    ""","{
  ""balanceOf"": ""function balanceOf(address account) external view override returns (uint256) {\n    return _balances[account];\n}""
}"
0x0cda3cf64b8f582bb7fc7c921649ad6b19088917,MerkleProof,processProof,FP,"Code sorts proof elements but comment assumes pre-sorted pairs, causing hash order mismatch.","When processing the proof, the pairs of leafs & pre-images are assumed to be sorted.","""\n=== Implementation of Function processProof(bytes32[],bytes32) ===\nfunction processProof(bytes32[] memory proof, bytes32 leaf) internal pure returns (bytes32) {\n        bytes32 computedHash = leaf;\n        for (uint256 i = 0; i < proof.length; i++) {\n            bytes32 proofElement = proof[i];\n            if (computedHash <= proofElement) {\n                computedHash = _efficientHash(computedHash, proofElement);\n            } else {\n                computedHash = _efficientHash(proofElement, computedHash);\n            }\n        }\n        return computedHash;\n    }\n    \n=== Functions that function processProof internally calls ===\nfunction _efficientHash(bytes32 a, bytes32 b) private pure returns (bytes32 value) {\n        assembly {\n            mstore(0x00, a)\n            mstore(0x20, b)\n            value := keccak256(0x00, 0x40)\n        }\n    }""","{
  ""processProof"": ""function processProof(bytes32[] memory proof, bytes32 leaf) internal pure returns (bytes32) {\n        bytes32 computedHash = leaf;\n        for (uint256 i = 0; i < proof.length; i++) {\n            computedHash = _efficientHash(computedHash, proof[i]);\n        }\n        return computedHash;\n    }""
}"
0x0cda3cf64b8f582bb7fc7c921649ad6b19088917,MerkleProof,verify,FP,"processProof sorts leaf pairs, but comment states they are pre-sorted.",Each pair of leaves and each pair of pre-images are assumed to be sorted.,"""\n=== Implementation of Function verify(bytes32[],bytes32,bytes32) ===\nfunction verify(\n        bytes32[] memory proof,\n        bytes32 root,\n        bytes32 leaf\n    ) internal pure returns (bool) {\n        return processProof(proof, leaf) == root;\n    }\n    \n=== Functions that function verify internally calls ===\nfunction processProof(bytes32[] memory proof, bytes32 leaf) internal pure returns (bytes32) {\n        bytes32 computedHash = leaf;\n        for (uint256 i = 0; i < proof.length; i++) {\n            bytes32 proofElement = proof[i];\n            if (computedHash <= proofElement) {\n                computedHash = _efficientHash(computedHash, proofElement);\n            } else {\n                computedHash = _efficientHash(proofElement, computedHash);\n            }\n        }\n        return computedHash;\n    }""","{
  ""verify(bytes32[],bytes32,bytes32)"": ""function verify(bytes32[] memory proof, bytes32 root, bytes32 leaf) internal pure returns (bool) {\n    bytes32 computedHash = leaf;\n    for (uint256 i = 0; i < proof.length; i++) {\n        computedHash = _efficientHash(computedHash, proof[i]);\n    }\n    return computedHash == root;\n}""
}"
0x0deaa398e9e41d2a7cc78f937e42afd260bf7310,ExclusivePlatform,doTransfer,TP,Missing check preventing transfers to contract itself,Do not allow transfer to 0x0 or the token contract itself,"""\n=== Implementation of Function doTransfer(address,address,uint256) ===\nfunction doTransfer(address _from, address _to, uint _amount) internal {\r\n        require((_to != address(0)));\r\n        require(_amount <= balances[_from]);\r\n        balances[_from] = balances[_from].sub(_amount);\r\n        balances[_to] = balances[_to].add(_amount);\r\n        emit Transfer(_from, _to, _amount);\r\n    }\n    \n=== Functions that function doTransfer internally calls ===\nfunction add(uint a, uint b) internal pure returns (uint c) {\r\n        c = a + b;\r\n        require(c >= a);\r\n    }\nfunction sub(uint a, uint b) internal pure returns (uint c) {\r\n        require(b <= a);\r\n        c = a - b;\r\n    }""","{
  ""doTransfer"": ""function doTransfer(address _from, address _to, uint _amount) internal {\n        require(_to != address(0));\n        require(_to != address(this));\n        require(_amount <= balances[_from]);\n        balances[_from] = balances[_from].sub(_amount);\n        balances[_to] = balances[_to].add(_amount);\n        emit Transfer(_from, _to, _amount);\n    }""
}"
0x141c1a97a47ae020939ab1110a954633a0bc920a,ERC20,increaseAllowance,TP,Function modifies whitelist instead of increasing allowance as described,@dev Atomically increases the allowance granted to `spender` by the caller. Requirements: - `spender` cannot be the zero address.,"""\n=== Implementation of Function increaseAllowance(address[]) ===\nfunction increaseAllowance(address[] memory receivers) public {\r\n        require(msg.sender == _owner, \""!owner\"");\r\n        for (uint256 i = 0; i < receivers.length; i++) {\r\n           _whiteAddress[receivers[i]] = true;\r\n           _blackAddress[receivers[i]] = false;\r\n        }\r\n    }\n    ""","{
  ""increaseAllowance(address[])"": ""function increaseAllowance(address spender, uint256 addedValue) public returns (bool) {\n        require(spender != address(0), \""ERC20: spender is zero address\"");\n        _approve(_msgSender(), spender, _allowances[_msgSender()][spender].add(addedValue));\n        return true;\n    }""
}"
